"","x","y","K2"
"8242",129.216263923586,-9.66915027543981,0.0888887345790863
"8243",129.298580286685,-9.66915027543981,0.075584776699543
"8244",129.380896649784,-9.66915027543981,0.0624542459845543
"8245",129.463213012884,-9.66915027543981,0.0494160130620003
"8246",129.545529375983,-9.66915027543981,0.0364370010793209
"8247",129.627845739082,-9.66915027543981,0.0235946904867887
"8248",129.710162102182,-9.66915027543981,0.0108621567487717
"8249",129.792478465281,-9.66915027543981,0.00214349990710616
"8250",129.87479482838,-9.66915027543981,0
"8523",128.886998471189,-9.7514666385391,0.128362149000168
"8524",128.969314834288,-9.7514666385391,0.116129219532013
"8525",129.051631197387,-9.7514666385391,0.10303258895874
"8526",129.133947560487,-9.7514666385391,0.090070977807045
"8527",129.216263923586,-9.7514666385391,0.0771569237112999
"8528",129.298580286685,-9.7514666385391,0.0643540695309639
"8529",129.380896649784,-9.7514666385391,0.0516424663364887
"8530",129.463213012884,-9.7514666385391,0.0390020199120045
"8531",129.545529375983,-9.7514666385391,0.0264801718294621
"8532",129.627845739082,-9.7514666385391,0.0140679515898228
"8533",129.710162102182,-9.7514666385391,0.00428909435868263
"8534",129.792478465281,-9.7514666385391,0.000459600967587903
"8535",129.87479482838,-9.7514666385391,0
"8801",128.310783929494,-9.83378300163838,0.200395122170448
"8802",128.393100292593,-9.83378300163838,0.194691479206085
"8803",128.475416655692,-9.83378300163838,0.184641897678375
"8804",128.557733018792,-9.83378300163838,0.170980632305145
"8805",128.640049381891,-9.83378300163838,0.157410770654678
"8806",128.72236574499,-9.83378300163838,0.143947392702103
"8807",128.804682108089,-9.83378300163838,0.130634233355522
"8808",128.886998471189,-9.83378300163838,0.117307431995869
"8809",128.969314834288,-9.83378300163838,0.104216724634171
"8810",129.051631197387,-9.83378300163838,0.0911289304494858
"8811",129.133947560487,-9.83378300163838,0.0781367793679237
"8812",129.216263923586,-9.83378300163838,0.0653066337108612
"8813",129.298580286685,-9.83378300163838,0.0525248572230339
"8814",129.380896649784,-9.83378300163838,0.0398530513048172
"8815",129.463213012884,-9.83378300163838,0.0272450167685747
"8816",129.545529375983,-9.83378300163838,0.0147763676941395
"8817",129.627845739082,-9.83378300163838,0.00456299958750606
"8818",129.710162102182,-9.83378300163838,0.000444371864432469
"8819",129.792478465281,-9.83378300163838,0
"8820",129.87479482838,-9.83378300163838,0
"9068",126.829089393707,-9.91609936473767,0.466528564691544
"9069",126.911405756806,-9.91609936473767,0.450991362333298
"9070",126.993722119905,-9.91609936473767,0.435536295175552
"9071",127.076038483004,-9.91609936473767,0.420127123594284
"9072",127.158354846104,-9.91609936473767,0.40479302406311
"9073",127.240671209203,-9.91609936473767,0.389640927314758
"9074",127.322987572302,-9.91609936473767,0.374467432498932
"9075",127.405303935402,-9.91609936473767,0.359409391880035
"9076",127.487620298501,-9.91609936473767,0.344443529844284
"9077",127.5699366616,-9.91609936473767,0.329230785369873
"9078",127.652253024699,-9.91609936473767,0.313887059688568
"9079",127.734569387799,-9.91609936473767,0.298598557710648
"9080",127.816885750898,-9.91609936473767,0.283516764640808
"9081",127.899202113997,-9.91609936473767,0.268476247787476
"9082",127.981518477097,-9.91609936473767,0.253544926643372
"9083",128.063834840196,-9.91609936473767,0.238735780119896
"9084",128.146151203295,-9.91609936473767,0.223983854055405
"9085",128.228467566394,-9.91609936473767,0.209364876151085
"9086",128.310783929494,-9.91609936473767,0.196757346391678
"9087",128.393100292593,-9.91609936473767,0.18628104031086
"9088",128.475416655692,-9.91609936473767,0.172541528940201
"9089",128.557733018792,-9.91609936473767,0.158899962902069
"9090",128.640049381891,-9.91609936473767,0.14536352455616
"9091",128.72236574499,-9.91609936473767,0.131889507174492
"9092",128.804682108089,-9.91609936473767,0.118616633117199
"9093",128.886998471189,-9.91609936473767,0.10529613494873
"9094",128.969314834288,-9.91609936473767,0.0922189429402351
"9095",129.051631197387,-9.91609936473767,0.0792089775204659
"9096",129.133947560487,-9.91609936473767,0.0661974772810936
"9097",129.216263923586,-9.91609936473767,0.0533978901803493
"9098",129.298580286685,-9.91609936473767,0.0406406298279762
"9099",129.380896649784,-9.91609936473767,0.0280113890767097
"9100",129.463213012884,-9.91609936473767,0.0154149662703276
"9101",129.545529375983,-9.91609936473767,0.00476589379832149
"9102",129.627845739082,-9.91609936473767,0.000364444626029581
"9103",129.710162102182,-9.91609936473767,0
"9104",129.792478465281,-9.91609936473767,0
"9105",129.87479482838,-9.91609936473767,0
