Shark Bay	113.2115	-25.577
Shark Bay	113.626825	-25.39025
Shark Bay	113.580458	-25.385683
Shark Bay	113.201975	-25.562158
Shark Bay	113.589442	-25.163042
Shark Bay	113.445692	-25.250083
Shark Bay	113.257158	-25.665675
Shark Bay	113.420417	-25.400458
Shark Bay	113.41985	-25.121333
Shark Bay	113.278358	-24.964267
Shark Bay	113.332625	-25.1141
Shark Bay	113.440683	-25.384867
Shark Bay	113.553908	-25.329492
Shark Bay	113.670117	-25.375183
Shark Bay	113.277758	-24.875133
Shark Bay	113.197608	-24.961317
Shark Bay	113.20355	-25.563775
Shark Bay	113.218117	-25.596308
Shark Bay	113.226467	-25.574417
Shark Bay	113.444925	-25.24035
Shark Bay	113.384367	-25.284983
Shark Bay	113.284425	-25.057425
Shark Bay	113.268142	-24.872033
Shark Bay	113.238592	-24.80115
Shark Bay	113.203258	-25.564583
Shark Bay	113.285225	-25.107308
Shark Bay	113.16915	-25.654892
Shark Bay	113.295083	-24.929433
Shark Bay	113.19565	-24.965333
Shark Bay	113.611967	-25.336942
Shark Bay	113.375817	-25.435242
Shark Bay	113.212717	-25.596233
Shark Bay	113.63065	-25.512817
Shark Bay	113.454558	-25.251592
Shark Bay	113.427642	-25.304825
Shark Bay	113.210233	-25.6643
Shark Bay	113.209525	-25.599008
Shark Bay	113.422967	-25.116475
Shark Bay	113.454458	-25.115533
Shark Bay	113.5503	-25.332325
Shark Bay	113.65035	-25.283225
Shark Bay	113.622083	-25.238308
Shark Bay	113.4647	-25.12335
Pilbara	117.830555	-19.709453
Pilbara	117.92399	-20.157877
Pilbara	117.444394	-20.047491
Shark Bay	113.298708	-24.931983
Shark Bay	113.198533	-24.922475
Shark Bay	113.343258	-25.066558
Shark Bay	113.610525	-25.236508
Shark Bay	113.416433	-25.389608
Shark Bay	113.440342	-25.201983
Shark Bay	113.393667	-25.1577
Shark Bay	113.427858	-25.117933
Shark Bay	113.574442	-25.189258
Shark Bay	113.588017	-25.16455
Shark Bay	113.6555	-25.289417
Shark Bay	113.641458	-25.672117
Shark Bay	113.450117	-25.240775
Shark Bay	113.257175	-25.669975
Shark Bay	113.238783	-25.684892
Shark Bay	113.211125	-25.6014
Shark Bay	113.2729	-24.873925
Shark Bay	113.436867	-25.164567
Shark Bay	113.4526	-25.217342
Shark Bay	113.24155	-25.69535
Shark Bay	113.220717	-25.570142
Shark Bay	113.284567	-24.973975
Shark Bay	113.651233	-25.24995
Shark Bay	113.298992	-24.928992
Shark Bay	113.385683	-25.0165
Shark Bay	113.649725	-25.248017
Shark Bay	113.579558	-25.183542
Shark Bay	113.4537	-25.24035
Shark Bay	113.259642	-24.920592
Shark Bay	113.243458	-25.64255
Shark Bay	113.539692	-25.267983
Shark Bay	113.439967	-25.221083
Shark Bay	113.627183	-25.201175
Shark Bay	113.039008	-25.544175
Shark Bay	113.384075	-25.393975
Shark Bay	113.2849	-25.059292
Exmouth Gulf	114.3087	-21.861658
Shark Bay	113.225217	-25.9132
Shark Bay	113.187267	-25.659867
Shark Bay	113.211333	-25.630975
Shark Bay	113.238292	-25.64935
Shark Bay	113.414608	-25.441933
Shark Bay	113.38325	-25.395642
Shark Bay	113.383083	-25.34515
Shark Bay	113.650825	-25.33305
Shark Bay	113.414317	-25.1951
Shark Bay	113.283992	-25.062183
Shark Bay	113.346983	-25.069758
Shark Bay	113.221042	-24.99365
Shark Bay	113.272167	-24.87535
Shark Bay	113.444575	-25.387233
Shark Bay	113.410933	-25.347767
Shark Bay	113.261658	-25.666425
Shark Bay	113.446842	-25.296492
Shark Bay	113.42495	-25.293675
Shark Bay	113.3836	-25.288133
Shark Bay	113.259325	-24.89625
Shark Bay	113.616825	-25.243267
Shark Bay	113.610708	-25.233483
Shark Bay	113.2071	-25.653833
Shark Bay	113.549517	-25.172925
Shark Bay	113.384583	-25.207292
Shark Bay	113.28005	-24.974725
Shark Bay	113.3086	-24.792767
Shark Bay	113.195133	-24.962675
Shark Bay	113.239008	-25.653208
Shark Bay	113.222625	-25.575708
Shark Bay	113.65995	-25.292658
Shark Bay	113.580833	-25.3863
Shark Bay	113.435633	-25.171325
Shark Bay	113.650983	-25.248775
Shark Bay	113.631217	-25.211892
Shark Bay	113.243317	-24.791083
Shark Bay	113.287742	-25.109575
Shark Bay	113.42225	-25.250117
Shark Bay	113.238267	-25.651608
Shark Bay	113.23465	-25.683058
Shark Bay	113.102475	-25.589325
Shark Bay	113.070108	-25.584808
Shark Bay	113.201117	-25.562958
Exmouth Gulf	114.209817	-22.166183
Shark Bay	113.243792	-25.741183
Shark Bay	113.069817	-25.571633
Shark Bay	113.623733	-25.200242
Shark Bay	113.2867	-24.883575
Shark Bay	113.288633	-24.973683
Shark Bay	113.284108	-25.062817
Shark Bay	113.202342	-25.563942
Shark Bay	113.378233	-25.433958
Shark Bay	113.442233	-25.34395
Shark Bay	113.410042	-25.24705
Shark Bay	113.163109	-25.623425
Shark Bay	113.212617	-25.598559
Shark Bay	113.336883	-25.020975
Shark Bay	113.271184	-24.926183
Shark Bay	113.19455	-24.961792
