location	2	1
Exmouth Gulf	114.247642	-22.115392
Exmouth Gulf	114.282133	-22.208567
Exmouth Gulf	114.282142	-22.2087
Exmouth Gulf	114.305417	-22.115558
Exmouth Gulf	114.348975	-22.032083
Exmouth Gulf	114.2496	-22.110492
Exmouth Gulf	114.219642	-22.1251
Exmouth Gulf	114.281958	-22.2033
Exmouth Gulf	114.188733	-22.132792
Exmouth Gulf	114.25195	-22.097758
Exmouth Gulf	114.162967	-22.2783
Exmouth Gulf	114.194458	-22.254558
Exmouth Gulf	114.2833	-22.206725
Exmouth Gulf	114.159358	-22.220042
Exmouth Gulf	114.300525	-22.127842
Exmouth Gulf	114.3157	-22.101233
Exmouth Gulf	114.353558	-21.785342
Exmouth Gulf	114.311125	-21.990042
Exmouth Gulf	114.270542	-22.125117
Exmouth Gulf	114.320783	-22.214708
Exmouth Gulf	114.310467	-21.953308
Exmouth Gulf	114.288025	-22.110192
Exmouth Gulf	114.319642	-22.211217
Pilbara	118.220874	-19.688931
Exmouth Gulf	114.2764	-22.116308
Exmouth Gulf	114.202433	-22.252117
Exmouth Gulf	114.2385	-22.104025
Exmouth Gulf	114.319275	-22.214808
Exmouth Gulf	114.584958	-21.791133
Exmouth Gulf	114.30845	-21.863017
Exmouth Gulf	114.357808	-22.002808
Exmouth Gulf	114.214542	-22.166575
Exmouth Gulf	114.14605	-22.13555
Exmouth Gulf	114.228033	-21.985842
Shark Bay	113.22445	-25.912275
Exmouth Gulf	114.357258	-22.004825
Exmouth Gulf	114.230309	-22.108484
NA	123.1	-12.2
NA	122.9	-12.2
Ashmore Reef	123.08333	-12.23333
NA	114.3	-22
NA	117.2	-20.6
NA	116.6667	-19.5833
NA	116.6833	-19.55
NA	123.083	-12.2
Timor Sea	130.110359	-13.316194
NA	123.4	-12
NA	116.7	-19.7
NA	114.1	-22.1
NA	116.7	-19.5
NA	122.2	-18
NA	123	-12.3
NA	116.7	-19.6
NA	123.08333	-12.2
Exmouth Gulf	114.31155	-22.198333
Exmouth Gulf	114.20917	-22.10533
Exmouth Gulf	114.321	-22.120333
Exmouth Gulf	114.134833	-22.1245
Exmouth Gulf	114.13483	-22.1245
Exmouth Gulf	114.2005	-22.134833
Exmouth Gulf	114.246667	-22.090333
Exmouth Gulf	114.373449	-22.030809
